Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,narrative_length,word_count,cleaned_narrative
2025-06-13,Credit card,Store credit card,Getting a credit card,Card opened without my consent or knowledge,"A XXXX XXXX card was opened under my name by a fraudster. I received a notice from XXXX  that an account was just opened under my name. I reached out to XXXX XXXX to state that this activity was unauthorized and not me. XXXX XXXX confirmed this was fraudulent and immediately closed the card. However, they have failed to remove this from the three credit agencies and this fraud is now impacting my credit score based on a hard credit pull done by XXXX XXXX that was done by a fraudster.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,78230,Servicemember,Consent provided,Web,2025-06-13,Closed with non-monetary relief,Yes,,14069121,488,91,"a xxxx xxxx card was opened under my name by a fraudster. i received a notice from xxxx that an account was just opened under my name. i reached out to xxxx xxxx to state that this activity was unauthorized and not me. xxxx xxxx confirmed this was fraudulent and immediately closed the card. however, they have failed to remove this from the three credit agencies and this fraud is now impacting my credit score based on a hard credit pull done by xxxx xxxx that was done by a fraudster."
2025-06-12,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,"Dear CFPB, I have a secured credit card with citibank which is changed to unsecured card and I have been calling n waitting for the check release the secured amount {$2500.00} for rhat credit card. They told me to wait then today they told me someone cashed my check but their system doesnt have info as of who, where and when did it happen!!

I requested a case number but they wont send me any confirmation whatsoever to report to the police.

They told me I have to wait for some form that might be sent to me via mail within 14 days to fill out. I called customer service second time today and their manager told me same thing, no info no help at all! Please help me, it's a big bank but the service is so terrible and lil customer like me can do nothing! Thank so much and look forward for your reply!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NY,11220,,Consent provided,Web,2025-06-13,Closed with monetary relief,Yes,,14047085,806,156,"dear , i have a secured credit card with citibank which is changed to unsecured card and i have been calling n waitting for the check release the secured amount 2500.00 for rhat credit card. they told me to wait then today they told me someone cashed my check but their system doesnt have info as of who, where and when did it happen!! i requested a case number but they wont send me any confirmation whatsoever to report to the police. they told me i have to wait for some form that might be sent to me via mail within 14 days to fill out. i called customer service second time today and their manager told me same thing, no info no help at all! please help me, its a big bank but the service is so terrible and lil customer like me can do nothing! thank so much and look forward for your reply!"
2025-06-12,Credit card,General-purpose credit card or charge card,Incorrect information on your report,Account information incorrect,"I have a Citi rewards cards. The credit balance issued to me was {$8400.00}. I recently moved, which meant my bills would be lowered, which meant I'd have LESS use for my credit cards. So in order to keep my usage in a generally good area I used each of my cards with the intention to pay them down monthly which would result in a boost to my credit score, showing creditors I can pay doen. All of my cards are in good standing. My credit is in good standing. But on the XXXX XXXX XXXX Citi abruptly slashes the balance of my card from {$8400.00} down to {$5400.00} and sends me a message that I have just about reached my credit limit. I contacted them and all they said was consult a letter they emailed on the XXXX. The slashing action was taken the day OF the letter ( XXXX ) and I had no recourse to respond nor was I even aware of this action prior to the notification about reaching my limit, which I received on or about the XXXX of XXXX. This is an egregious act that not only blindsided me but manipulates my account to make it APPEAR that I'm close to reaching the limit, when in fact I was no where near the limit. This could negatively impact my credit score through no fault of my own.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",IL,60067,,Consent provided,Web,2025-06-12,Closed with explanation,Yes,,14040217,1199,233,"i have a citi rewards cards. the credit balance issued to me was 8400.00. i recently moved, which meant my bills would be lowered, which meant id have less use for my credit cards. so in order to keep my usage in a generally good area i used each of my cards with the intention to pay them down monthly which would result in a boost to my credit score, showing creditors i can pay doen. all of my cards are in good standing. my credit is in good standing. but on the xxxx xxxx xxxx citi abruptly slashes the balance of my card from 8400.00 down to 5400.00 and sends me a message that i have just about reached my credit limit. i contacted them and all they said was consult a letter they emailed on the xxxx. the slashing action was taken the day of the letter  xxxx  and i had no recourse to respond nor was i even aware of this action prior to the notification about reaching my limit, which i received on or about the xxxx of xxxx. this is an egregious act that not only blindsided me but manipulates my account to make it appear that im close to reaching the limit, when in fact i was no where near the limit. this could negatively impact my credit score through no fault of my own."
2025-06-09,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"b'I am writing to dispute the following charges on my CITI Credit Card Accounts where I have become a victim of identity theft when someone made a purchase without my authorization, I have not made any purchases and have no knowledge of them, I strongly believe the unauthorized transaction are the result of identity theft. An attachment fromXX/XX/XXXXshowing a new address for me is also fraudulent, I do not have or lived in Murfreesboro, TN  XX/XX/XXXX, thats when I became aware of the fraudulent charges. I then started the communications with CITI, XX/XX/XXXXabout the unauthorized fraudulent charge, I also included statements, credit score negative points due to inaccurate charges. After several attempts to clear this matter, it has become apparent that I am being ignored by CITI. I am not sure how to proceed to try and get the right help to clear this matter. I am hoping I have reached the correct CITI group to clear this matter.\n\nAccount Opened: XX/XX/XXXXcredit card number:XX/XX/XXXXn1.\tCharge #1 of XX/XX/XXXX Charge amount was disputed and CITI closed account and mailed a 2nd different account.\nNew CITI credit card replacement: XX/XX/XXXXn XX/XX/XXXXtCharge #2 interest charge and previously monthly payment total: XX/XX/XXXX dollars. Charge amount was disputed and CITI closed account and mailed a 3rd  different account.\nNew CITI credit card replacemenXX/XX/XXXX\tCharge #3 interest charge including previously monthly payment total XX/XX/XXXX\nI have made three (3) phone call attempts to phone numberXX/XX/XXXX between March 4, 2025 thrXX/XX/XXXX to CITI to resolve the unauthorized charges with CITI to no avail. In return CITI has closed the original credit card with the credit card numbers as listed above but has kept transferring the unauthorized charges of the original credit card that was opened on XX/XX/XXXXo the new credit card accounts. CITI needs to remove all charges and credit my account showing a zero balance, I did not make any purchases whatsoever and I should not be responsible for any payments. CITI has turned in a late payment exceeding 30 days to the credit bureau and it has cost me a negative ofXX/XX/XXXX points. I have lost all faith in communicating with CITI by telephone to resolve this issue that is extremely frustrating. I need help to clear this matter.\n\nI am requesting that you immediately remove these charges from my account and credit my account for the total amount ofXX/XX/XXXXdollars. I also request that you investigate these unauthorized transaction and take steps to prevent future fraudulent charges to my account.\n\nI have attached copies of my credit card statement and other documents that support my claim.\n\nPlease send me written confirmation that you have removed the fraudulent charges and credited my account, and also that you have investigated the matter.\n\nThank you for your prompt attention to this matter.'",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,78413,Older American,Consent provided,Web,2025-06-09,Closed with monetary relief,Yes,,13968411,2908,454,"bi am writing to dispute the following charges on my citi credit card accounts where i have become a victim of identity theft when someone made a purchase without my authorization, i have not made any purchases and have no knowledge of them, i strongly believe the unauthorized transaction are the result of identity theft. an attachment fromxxxxxxxxshowing a new address for me is also fraudulent, i do not have or lived in murfreesboro, tn xxxxxxxx, thats when i became aware of the fraudulent charges. i then started the communications with citi, xxxxxxxxabout the unauthorized fraudulent charge, i also included statements, credit score negative points due to inaccurate charges. after several attempts to clear this matter, it has become apparent that i am being ignored by citi. i am not sure how to proceed to try and get the right help to clear this matter. i am hoping i have reached the correct citi group to clear this matter.nnaccount opened xxxxxxxxcredit card numberxxxxxxxxn1.tcharge 1 of xxxxxxxx charge amount was disputed and citi closed account and mailed a 2nd different account.nnew citi credit card replacement xxxxxxxxn xxxxxxxxtcharge 2 interest charge and previously monthly payment total xxxxxxxx dollars. charge amount was disputed and citi closed account and mailed a 3rd different account.nnew citi credit card replacemenxxxxxxxxtcharge 3 interest charge including previously monthly payment total xxxxxxxxni have made three 3 phone call attempts to phone numberxxxxxxxx between march 4, 2025 thrxxxxxxxx to citi to resolve the unauthorized charges with citi to no avail. in return citi has closed the original credit card with the credit card numbers as listed above but has kept transferring the unauthorized charges of the original credit card that was opened on xxxxxxxxo the new credit card accounts. citi needs to remove all charges and credit my account showing a zero balance, i did not make any purchases whatsoever and i should not be responsible for any payments. citi has turned in a late payment exceeding 30 days to the credit bureau and it has cost me a negative ofxxxxxxxx points. i have lost all faith in communicating with citi by telephone to resolve this issue that is extremely frustrating. i need help to clear this matter.nni am requesting that you immediately remove these charges from my account and credit my account for the total amount ofxxxxxxxxdollars. i also request that you investigate these unauthorized transaction and take steps to prevent future fraudulent charges to my account.nni have attached copies of my credit card statement and other documents that support my claim.nnplease send me written confirmation that you have removed the fraudulent charges and credited my account, and also that you have investigated the matter.nnthank you for your prompt attention to this matter."
2025-06-09,Credit card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,"Although the account had been deemed closed, I continued to make payments towards the dept, however, they requested that I pay XXXX as a minimal payment, which I could not afford, however, I did forward XXXX, dollars per month towards the dept. The problem here however, is that the continued XXXX dollars per month was never included towards the dept. They just very simply kept my monies without applying it towards the overall dept. Their explanation to me was that since I did not forward the latter XXXX, the XXXX dollars served as interest towards the dept. First, there was no practical reason for them to charge me an increase of XXXX, for missing one payment, and at no time had I violated any rule, regular, or policy of agreement, with this creditor. And was consistently paying over the minimal amount initially requested monthly. I want all those XXXX dollar payments accredited to my dept balance! So that this account can be paid off, in a fair and equitable way.",Company believes it acted appropriately as authorized by contract or law,Atlanticus Services Corporation,NY,11212,Older American,Consent provided,Web,2025-06-09,Closed with monetary relief,Yes,,13965746,978,170,"although the account had been deemed closed, i continued to make payments towards the dept, however, they requested that i pay xxxx as a minimal payment, which i could not afford, however, i did forward xxxx, dollars per month towards the dept. the problem here however, is that the continued xxxx dollars per month was never included towards the dept. they just very simply kept my monies without applying it towards the overall dept. their explanation to me was that since i did not forward the latter xxxx, the xxxx dollars served as interest towards the dept. first, there was no practical reason for them to charge me an increase of xxxx, for missing one payment, and at no time had i violated any rule, regular, or policy of agreement, with this creditor. and was consistently paying over the minimal amount initially requested monthly. i want all those xxxx dollar payments accredited to my dept balance! so that this account can be paid off, in a fair and equitable way."
2025-06-11,Credit card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,I was trying to log into my account and it would not let me because the company supposedly sent a new credit card. I do not have said credit card. The Citibank system will not let you log into your account. I called to have them clear this and they would not stating that they had to send a new card and it had to be activated before I can get into my account. In the mean time I am paying interest on a balance I can't pay off because I can can't get into the account. There are no physical locations. This company is sham. I will NEVER open another account with them.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,XXXXX,,Consent provided,Web,2025-06-11,Closed with explanation,Yes,,14025020,569,114,i was trying to log into my account and it would not let me because the company supposedly sent a new credit card. i do not have said credit card. the citibank system will not let you log into your account. i called to have them clear this and they would not stating that they had to send a new card and it had to be activated before i can get into my account. in the mean time i am paying interest on a balance i cant pay off because i can cant get into the account. there are no physical locations. this company is sham. i will never open another account with them.
2025-06-07,Credit card,Store credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I received an email in XXXX from my XXXX XXXX XXXX saying that I was late on my Home Depot card account. I immediately called Home Depot and tried to set up a fraudulent charge but they couldnt verify my identity because someone changed everything in their system. Then they sent the verification letter to my home address and I finally was able to do the fraud claim. I had multiple problems with this due to all the misinformation I received from the employees at Citicard and Home Depot. I just was notified that they found my charges weee not fraud and now I am contacting you because this is not right. I received a copy of the receipt showing it was done online for a store in XXXX XXXX Illinois and sent to an address in Illinois. I have lived in Colorado since I opened this Home Depot account and have never lived at the address listed in the receipt or had the email address, address or phone number on this receipt. Please help since they are reporting I am late on my payments to my credit reporting companies.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CO,80128,Servicemember,Consent provided,Web,2025-06-07,Closed with monetary relief,Yes,,13950990,1022,190,"i received an email in xxxx from my xxxx xxxx xxxx saying that i was late on my home depot card account. i immediately called home depot and tried to set up a fraudulent charge but they couldnt verify my identity because someone changed everything in their system. then they sent the verification letter to my home address and i finally was able to do the fraud claim. i had multiple problems with this due to all the misinformation i received from the employees at citicard and home depot. i just was notified that they found my charges weee not fraud and now i am contacting you because this is not right. i received a copy of the receipt showing it was done online for a store in xxxx xxxx illinois and sent to an address in illinois. i have lived in colorado since i opened this home depot account and have never lived at the address listed in the receipt or had the email address, address or phone number on this receipt. please help since they are reporting i am late on my payments to my credit reporting companies."
2025-06-06,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I filed a dispute with my bank, Truist, on my business credit card for services I had contracted and paid for that turned out to be fraudulent. My dispute case number was XXXX. I singed and paid this contract on XX/XX/XXXX. I found out this was fraudulent transaction in XXXX of XXXX and filed my dispute XX/XX/XXXX. Truist has since denied my dispute for no correct or apparent reason that is applicable to the reason I disputed the charge. This case involves over 400 others and has been escalated to the SEC, FTC, and FBI. This is the letter along with other supporting documents I sent to Truist : This letter outlines my formal dispute and request for chargeback regarding undelivered commercial trucking services I contracted through XXXX XXXX XXXX and XXXX XXXX XXXX XXXX. The dispute relates to payments made via XXXX, funded through Truist business credit card totaling {$12000.00}. Although funds were transmitted through XXXX, these payments were in no shape or form a gift. They were for contracted services that were misrepresented, only partially rendered, and ultimately abandoned. 
Please refer to the contract attached. 
XXXX XXXX XXXX 's recent notice claims banking and payment processing issues caused by their subcontractor, XXXX XXXX XXXX, constitute a Force Majeure event. Additionally, stating XXXX XXXX XXXX was never in possession of leased trucks as that was XXXX XXXX XXXX XXXX ( their subcontractor ). However, banking issues, subcontractor failures, and business partner defaults are normal business risks, not extraordinary Force Majeure events like natural disasters, wars, pandemics, or government shutdowns, etc. 
My contract is directly with XXXX XXXX XXXX. Their subcontractors ' failures do not absolve them of their direct obligations to me under the contract. Courts consistently hold that internal partner or vendor problems do not excuse nonperformance unless explicitly stated, which is not the case here. 
XXXX XXXX XXXX attempt to attribute blame to subcontractors ( XXXX XXXX XXXX, XXXX XXXX XXXX XXXX ) does not absolve them of liability. Under basic contract law principles, a company can not contract away its obligations by outsourcing to third parties. The risk of subcontractor nonperformance remains entirely with XXXX XXXX XXXX, who was directly responsible for fulfilling the services promised to me. 
Therefore, their failure to make the guaranteed weekly payments constitutes a breach of contract and fraud, not a valid Force Majeure event. I respectfully request that this dispute be resolved in my favor. 
This dispute involves a substantial business loss totaling {$12000.00} across my Truist business credit card, as well as an additional {$41000.00} related to other business cards being disputed and tied to undelivered services and mismanagement of funds. Totaling in {$52000.00} as stated in the contract. These funds were provided in exchange for the expectation of truck leasing, weekly operational income, insurance, driver coordination, and full commercial fleet management all outlined in the signed agreement. These services were never rendered in full, and operational updates and income deposits ceased without explanation. 
The inability to recover these funds would cause significant financial harm to my business and undermines trust in secure commercial use of Truist financial services.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TRUIST FINANCIAL CORPORATION,FL,33607,,Consent provided,Web,2025-06-06,Closed with explanation,Yes,,13938213,3363,520,"i filed a dispute with my bank, truist, on my business credit card for services i had contracted and paid for that turned out to be fraudulent. my dispute case number was xxxx. i singed and paid this contract on xxxxxxxx. i found out this was fraudulent transaction in xxxx of xxxx and filed my dispute xxxxxxxx. truist has since denied my dispute for no correct or apparent reason that is applicable to the reason i disputed the charge. this case involves over 400 others and has been escalated to the sec, ftc, and fbi. this is the letter along with other supporting documents i sent to truist  this letter outlines my formal dispute and request for chargeback regarding undelivered commercial trucking services i contracted through xxxx xxxx xxxx and xxxx xxxx xxxx xxxx. the dispute relates to payments made via xxxx, funded through truist business credit card totaling 12000.00. although funds were transmitted through xxxx, these payments were in no shape or form a gift. they were for contracted services that were misrepresented, only partially rendered, and ultimately abandoned. please refer to the contract attached. xxxx xxxx xxxx s recent notice claims banking and payment processing issues caused by their subcontractor, xxxx xxxx xxxx, constitute a force majeure event. additionally, stating xxxx xxxx xxxx was never in possession of leased trucks as that was xxxx xxxx xxxx xxxx  their subcontractor . however, banking issues, subcontractor failures, and business partner defaults are normal business risks, not extraordinary force majeure events like natural disasters, wars, pandemics, or government shutdowns, etc. my contract is directly with xxxx xxxx xxxx. their subcontractors  failures do not absolve them of their direct obligations to me under the contract. courts consistently hold that internal partner or vendor problems do not excuse nonperformance unless explicitly stated, which is not the case here. xxxx xxxx xxxx attempt to attribute blame to subcontractors  xxxx xxxx xxxx, xxxx xxxx xxxx xxxx  does not absolve them of liability. under basic contract law principles, a company can not contract away its obligations by outsourcing to third parties. the risk of subcontractor nonperformance remains entirely with xxxx xxxx xxxx, who was directly responsible for fulfilling the services promised to me. therefore, their failure to make the guaranteed weekly payments constitutes a breach of contract and fraud, not a valid force majeure event. i respectfully request that this dispute be resolved in my favor. this dispute involves a substantial business loss totaling 12000.00 across my truist business credit card, as well as an additional 41000.00 related to other business cards being disputed and tied to undelivered services and mismanagement of funds. totaling in 52000.00 as stated in the contract. these funds were provided in exchange for the expectation of truck leasing, weekly operational income, insurance, driver coordination, and full commercial fleet management all outlined in the signed agreement. these services were never rendered in full, and operational updates and income deposits ceased without explanation. the inability to recover these funds would cause significant financial harm to my business and undermines trust in secure commercial use of truist financial services."
2025-06-10,Credit card,Store credit card,Trouble using your card,Can't use card to make purchases,"Ongoing payment situation with Best Buy, my payments are usually incoreect. Please look at Summary of Account Activity.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",MA,01108,Older American,Consent provided,Web,2025-06-10,Closed with explanation,Yes,,14001321,119,18,"ongoing payment situation with best buy, my payments are usually incoreect. please look at summary of account activity."
2025-03-24,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Overcharged for something you did purchase with the card,"I just had the worst experience ever with their customer service. This was my first time using the travel reward miles after having the XXXX card for several years. Their Capital One XXXX website listed the amount I owed for the hotel I booked as {$36.00} and charged me {$130.00}. I spent 1 hour and 44 minutes on the phone with them just trying to find out why I was overcharged and to get a refund. I was transferred 5 times. The first rep said he couldn't do anything about it. I asked for a supervisor who escalated the concern and checked with their IT department to finally admit that they charged me inaccurately due to a miscalculation in taxes by the system : {$94.00} more than I authorized. Then they said they'd issue me a refund, but said the refund would be in miles and when converted back to dollar amounts it would be less money. WHAT??? I will admit that the supervisor who explained to me how this would work was hard to understand XXXX XXXX was her name ), but I couldn't understand how they overcharged me and then won't give me the full refund. However, the worst part was when XXXX transferred me again ( the third time ) to the credit card side and the rep was SO RUDE it was absurd. She was the only one who did not give me her name ( or if she did I didn't catch it, but I got all the other rep names ). I was being polite -- I expressed frustration ( but was not rude ) when she said that she was going to transfer me back to the travel rep for them to explain why I was getting the refund in miles and not a dollar amount. I said to her that I'd been on the phone for over an hour and didn't want to be transferred again, and she interrupted me and said "" Ma'am, this is the credit card department, not the trouble department ''. WOW. I asked for her supervisor and she put me on hold for 12 minutes, did not do what the other reps did, which was come back on the line and explain that another rep from the other department was going to take over and then connect me, she just automatically transferred me, but not to a supervisor but back to the travel department. I'm cancelling this card immediately after this fiasco is resolved, and despite all the frustration and amount of time it took to get anywhere, they're losing a customer because of that rep who did not give me her name. I'm disgusted with her.",,CAPITAL ONE FINANCIAL CORPORATION,UT,84660,,Consent provided,Web,2025-03-24,Closed with explanation,Yes,,12629540,2338,450,"i just had the worst experience ever with their customer service. this was my first time using the travel reward miles after having the xxxx card for several years. their capital one xxxx website listed the amount i owed for the hotel i booked as 36.00 and charged me 130.00. i spent 1 hour and 44 minutes on the phone with them just trying to find out why i was overcharged and to get a refund. i was transferred 5 times. the first rep said he couldnt do anything about it. i asked for a supervisor who escalated the concern and checked with their it department to finally admit that they charged me inaccurately due to a miscalculation in taxes by the system  94.00 more than i authorized. then they said theyd issue me a refund, but said the refund would be in miles and when converted back to dollar amounts it would be less money. what??? i will admit that the supervisor who explained to me how this would work was hard to understand xxxx xxxx was her name , but i couldnt understand how they overcharged me and then wont give me the full refund. however, the worst part was when xxxx transferred me again  the third time  to the credit card side and the rep was so rude it was absurd. she was the only one who did not give me her name  or if she did i didnt catch it, but i got all the other rep names . i was being polite  i expressed frustration  but was not rude  when she said that she was going to transfer me back to the travel rep for them to explain why i was getting the refund in miles and not a dollar amount. i said to her that id been on the phone for over an hour and didnt want to be transferred again, and she interrupted me and said  maam, this is the credit card department, not the trouble department . wow. i asked for her supervisor and she put me on hold for 12 minutes, did not do what the other reps did, which was come back on the line and explain that another rep from the other department was going to take over and then connect me, she just automatically transferred me, but not to a supervisor but back to the travel department. im cancelling this card immediately after this fiasco is resolved, and despite all the frustration and amount of time it took to get anywhere, theyre losing a customer because of that rep who did not give me her name. im disgusted with her."
