chunk_text,metadata
"xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx, xxxx xxxxi am filing this formal complaint regarding wells fargos refusal to allow me to close my account, liquidate my balance, or prevent future charges, despite my explicit and repeated attempts to do so. xxxx xxxx xxxx xxxx xxxx i contacted wells fargo by telephone, more than 3 times, and requested the immediate closure and liquidation of my account ending in xxxx.","{""complaint_id"": 152, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 10}"
"sure and liquidation of my account ending in xxxx. i asked for an email address or official method to submit my request in writing, as advised by your policies. the representative refused to provide such contact information, and did not close the account or offer any acceptable path forward. xxxx xxxxthis has created a clear obstruction to my rights as a consumer.","{""complaint_id"": 152, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 10}"
"ed a clear obstruction to my rights as a consumer. the refusal to provide a means of formal closure is especially alarming in light of the fact that the account is currently under a 0 apr promotional period, which is about to expire. despite my intention to pay off the balance in full, your system has restricted my ability to make payments beyond the minimum leaving me at risk of falling into highinterest debt through no fault of my own.","{""complaint_id"": 152, ""product"": ""Credit card"", ""chunk_index"": 2, ""total_chunks"": 10}"
"into highinterest debt through no fault of my own. xxxx xxxxi have made multiple attempts to resolve this issue over the phone in previous weeks. on several occasions, your representatives have abruptly ended calls without explaining what they needed from me, or without completing the conversation. these interactions were not recorded, but the pattern has been consistent and frustrating. only the xxxx xxxx call was recorded.","{""complaint_id"": 152, ""product"": ""Credit card"", ""chunk_index"": 3, ""total_chunks"": 10}"
"frustrating. only the xxxx xxxx call was recorded. xxxx xxxxfurthermore, i have now filed a formal complaint with the  regarding this matter. i have uploaded all relevant evidence, including call recordings and correspondence, to the complaint portal. the complaint details how wells fargo is blocking any attempt to restore access or to pay off my balance before your illegal fees and interest charges can be applied.","{""complaint_id"": 152, ""product"": ""Credit card"", ""chunk_index"": 4, ""total_chunks"": 10}"
"illegal fees and interest charges can be applied. xxxx xxxxas a result, i am now demanding the following xxxx xxxximmediate closure of the account in question, effective as of xxxx xxxx xxxx xxxx xxxxfull liquidation and disbursement of any remaining balance to me. you can email me to my email address on file to debit the payment from your preferred bank account.","{""complaint_id"": 152, ""product"": ""Credit card"", ""chunk_index"": 5, ""total_chunks"": 10}"
"ebit the payment from your preferred bank account. xxxx xxxxwritten confirmation of account closure with no future fees, charges, or interest applied as promised by your 0 apr, sketchy promotionsxxxx xxxx xxxxcancellation of any interest that might accrue due to blocked payments after the 0 apr period. xxxx xxxxmonetary compensation for the time wasted, the distress caused by this unresolved and mishandled matter, and for the failure of your representatives to act in good faith.","{""complaint_id"": 152, ""product"": ""Credit card"", ""chunk_index"": 6, ""total_chunks"": 10}"
"lure of your representatives to act in good faith. xxxx xxxxif this issue is not resolved immediately, i will xxxx xxxxfollow up with the to escalate enforcement actions xxxx xxxxfile a complaint with my state attorney generals office xxxx xxxxpursue action in small claims court to recover both financial and nonfinancial damages xxxx xxxxconsider participating in or initiating a class action if this reflects a broader company practice xxxx xxxxi request a written response within 10 business days confirming closure and compensation details.","{""complaint_id"": 152, ""product"": ""Credit card"", ""chunk_index"": 7, ""total_chunks"": 10}"
"days confirming closure and compensation details. you can try by email, or you can send your response to my current hotel, in xxxx xxxx, seeing that im traveling right now. as you see on the envelopes address.","{""complaint_id"": 152, ""product"": ""Credit card"", ""chunk_index"": 8, ""total_chunks"": 10}"
"ng right now. as you see on the envelopes address. xxxx xxxxsincerely, xxxxxxxx xxxx xxxx xxxxxxxxabout the account number, credit card number xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx, xxxxxxxx xxxx xxxx xxxx xxxxxxxx xxxx xxxxbelow we have the links to the evidence, and proves that i was trying to find a way to pay and close the account, but they werent even allowing me to do soxxxxeven after passing all the security measures. address confirmation. otp verification, etc. etc.xxxx","{""complaint_id"": 152, ""product"": ""Credit card"", ""chunk_index"": 9, ""total_chunks"": 10}"
"for the last 3 months or so, ive not been able to redeem my rightfully earned rewards points earned from my card spend on my us bank business credit cards. if first started when one of my u.s. bank cards would not receive any reward points even though i was completing spend on the card. apparently, it had to do with my account being in standard billing as opposed to individual billing and they lost the points when they converted my account.","{""complaint_id"": 75, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 6}"
"ey lost the points when they converted my account. after getting that fixed, i wanted to redeem my points on that card and another card i had with them. whenever i try to redeem my points on the mobile app, online, or over the phone through a representative, it informs me that an error occurred. i immediately called the us bank business credit line at the end of xxxx and again in xxxx about the issue and they said they would open an investigation and call me back in two days.","{""complaint_id"": 75, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 6}"
"pen an investigation and call me back in two days. during this time, i contacted u.s. banks xxxx unit to make sure nothing was wrong with my checking account and they confirmed it was fine. fast forward two days and i never received that call. after waiting several weeks with nothing being changed, i received a letter in early xxxx in the mail from them asking me to call them to redeem my points.","{""complaint_id"": 75, ""product"": ""Credit card"", ""chunk_index"": 2, ""total_chunks"": 6}"
"m them asking me to call them to redeem my points. when i called them, its like they never even heard of the problem and told me to call their business checking line which was closed that weekend. a couple days later i called their business checking line who said everything was fine on their end and gave me the run around, telling me to call their business credit line back. after frustration i decided to wait a couple more weeks.","{""complaint_id"": 75, ""product"": ""Credit card"", ""chunk_index"": 3, ""total_chunks"": 6}"
"frustration i decided to wait a couple more weeks. this past xxxx xxxxxxxxxxxx, i called their business business credit line again and got the run around again along with false platitudes assuring me how sorry they are and they would call me in another two days after continuing their vacation. its been 5 days since then and i havent heard a word. im beyond xxxx at this point.","{""complaint_id"": 75, ""product"": ""Credit card"", ""chunk_index"": 4, ""total_chunks"": 6}"
"havent heard a word. im beyond xxxx at this point. on my us bank triple cash ending in xxxx, us bank owes me 860.00 in reward points and on my us bank business leverage ending in xxxx, us bank owes me xxxx reward points  equivalent to 910.00 . they are keeping my rightfully earned rewards hostage at this point. the last time i called on monday, they gave me a case number for this investigation  xxxx","{""complaint_id"": 75, ""product"": ""Credit card"", ""chunk_index"": 5, ""total_chunks"": 6}"
i paid a payment last xxxx xxxx and did not update the payment status and when i called them since last year after xxxx they want me to call them after three days and i did and nothing happened still.,"{""complaint_id"": 158, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 1}"
